;Tool  Pocket Z Offset     Diameter     Remark
T1     P1     Z+0.511000   D+2.000000   ; probe
T2     P4     Z+0.100000   D+3.300000   ; 3.3mm drill bit
T3     P3     Z+1.273000   D+6.000000   ; 6mm 1f dlc
T4     P2     Z+10.000000  D+6.000000   ; 6mm 45deg chamfer
T5     P5     Z+25.000000  D+4.750000   ; 6mm thread cutter
T6     P0     Z+0.000000   D+4.000000   ; 4mm 1f dlc
T7     P0     Z+0.000000   D+8.000000   ; 8mm 3f dlc
T8     P0     Z+0.000000   D+25.000000  ; bap 25
T9     P0     Z+0.000000   D+6.000000   ; 6mm drill bit
T10    P0     Z+0.000000   D+4.000000   ; 4mm drill bit
T11    P0     Z+0.000000   D+6.000000   ; m3 thread cutter
T12    P0     Z+0.000000   D+6.000000   ; New Tool
T13    P0     Z+0.000000   D+6.000000   ; New Tool
T14    P0     Z+0.000000   D+6.000000   ; New Tool
T18    P0     Z+0.000000   D+4.750000   ; m6 threadcutter
T23    P0     Z+0.000000   D+3.300000   ; drill
T99    P0     Z+0.000000   D+2.000000   ; probe
